Year,NOC,Rank,Gold,Silver,Bronze,Total,Market_Share_Gold,Market_Share_Total,Total_Events,is_host,Host_NOC,years_since_last,crossed_war,years_since_hosted,olympic_experience,first_medal_year,is_post_soviet,years_since_independence,NOC_original
2008,AFG,82,0,0,1,1,0.0,0.0014858841010401188,673,0,CHN,0.0,0,999,0,2008,0,0,Afghanistan
2012,AFG,79,0,0,1,1,0.0,0.0014925373134328358,670,0,GBR,4.0,0,999,4,2008,0,0,Afghanistan
1988,AHO,36,0,1,0,1,0.0,0.001893939393939394,528,0,KOR,0.0,0,999,0,1988,0,0,Netherlands Antilles
2024,ALB,80,0,0,2,2,0.0,0.0027100271002710027,738,0,FRA,0.0,0,999,0,2024,0,0,Albania
1984,ALG,42,0,0,2,2,0.0,0.0040650406504065045,492,0,USA,0.0,0,999,0,1984,0,0,Algeria
1992,ALG,34,1,0,1,2,0.0017452006980802793,0.0034904013961605585,573,0,ESP,8.0,0,999,8,1984,0,0,Algeria
1996,ALG,34,2,0,1,3,0.0033112582781456954,0.004966887417218543,604,0,USA,4.0,0,999,12,1984,0,0,Algeria
2000,ALG,42,1,1,3,5,0.0014992503748125937,0.0074962518740629685,667,0,AUS,4.0,0,999,16,1984,0,0,Algeria
2008,ALG,68,0,1,1,2,0.0,0.0029717682020802376,673,0,CHN,8.0,0,999,24,1984,0,0,Algeria
2012,ALG,50,1,0,0,1,0.0014925373134328358,0.0014925373134328358,670,0,GBR,4.0,0,999,28,1984,0,0,Algeria
2016,ALG,63,0,2,0,2,0.0,0.002932551319648094,682,0,BRA,4.0,0,999,32,1984,0,0,Algeria
2024,ALG,39,2,0,1,3,0.0027100271002710027,0.0040650406504065045,738,0,FRA,8.0,0,999,40,1984,0,0,Algeria
1908,ANZ,11,1,2,2,5,0.003745318352059925,0.018726591760299626,267,0,GBR,0.0,0,999,0,1908,0,0,Australasia
1912,ANZ,12,2,2,3,7,0.00847457627118644,0.029661016949152543,236,0,SWE,4.0,0,999,4,1908,0,0,Australasia
1924,ARG,16,1,3,2,6,0.003424657534246575,0.02054794520547945,292,0,FRA,0.0,0,999,0,1924,0,0,Argentina
1928,ARG,12,3,3,1,7,0.011904761904761904,0.027777777777777776,252,0,NED,4.0,0,999,4,1924,0,0,Argentina
1932,ARG,12,3,1,0,4,0.011194029850746268,0.014925373134328358,268,0,USA,4.0,0,999,8,1924,0,0,Argentina
1936,ARG,14,2,2,3,7,0.006622516556291391,0.023178807947019868,302,0,GER,4.0,0,999,12,1924,0,0,Argentina
1948,ARG,13,3,3,1,7,0.009615384615384616,0.022435897435897436,312,0,GBR,12.0,1,999,24,1924,0,0,Argentina
1952,ARG,19,1,2,2,5,0.0029585798816568047,0.014792899408284023,338,0,FIN,4.0,0,999,28,1924,0,0,Argentina
1956,ARG,29,0,1,1,2,0.0,0.005847953216374269,342,0,AUS,4.0,0,999,32,1924,0,0,Argentina
1960,ARG,30,0,1,1,2,0.0,0.0058823529411764705,340,0,ITA,4.0,0,999,36,1924,0,0,Argentina
1964,ARG,30,0,1,0,1,0.0,0.002702702702702703,370,0,JPN,4.0,0,999,40,1924,0,0,Argentina
1968,ARG,41,0,0,2,2,0.0,0.0051813471502590676,386,0,MEX,4.0,0,999,44,1924,0,0,Argentina
1972,ARG,33,0,1,0,1,0.0,0.002277904328018223,439,0,GER,4.0,0,999,48,1924,0,0,Argentina
1988,ARG,35,0,1,1,2,0.0,0.003787878787878788,528,0,KOR,16.0,0,999,64,1924,0,0,Argentina
1992,ARG,54,0,0,1,1,0.0,0.0017452006980802793,573,0,ESP,4.0,0,999,68,1924,0,0,Argentina
1996,ARG,54,0,2,1,3,0.0,0.004966887417218543,604,0,USA,4.0,0,999,72,1924,0,0,Argentina
2000,ARG,57,0,2,2,4,0.0,0.005997001499250375,667,0,AUS,4.0,0,999,76,1924,0,0,Argentina
2004,ARG,38,2,0,4,6,0.0029895366218236174,0.008968609865470852,669,0,GRE,4.0,0,999,80,1924,0,0,Argentina
2008,ARG,35,2,0,4,6,0.0029717682020802376,0.008915304606240713,673,0,CHN,4.0,0,999,84,1924,0,0,Argentina
2012,ARG,42,1,1,2,4,0.0014925373134328358,0.005970149253731343,670,0,GBR,4.0,0,999,88,1924,0,0,Argentina
2016,ARG,26,3,1,0,4,0.004398826979472141,0.005865102639296188,682,0,BRA,4.0,0,999,92,1924,0,0,Argentina
2020,ARG,72,0,1,2,3,0.0,0.003942181340341655,761,0,JPN,4.0,0,999,96,1924,0,0,Argentina
2024,ARG,52,1,1,1,3,0.0013550135501355014,0.0040650406504065045,738,0,FRA,4.0,0,999,100,1924,0,0,Argentina
1996,ARM,45,1,1,0,2,0.0016556291390728477,0.0033112582781456954,604,0,USA,0.0,0,999,0,1996,1,5,Armenia
2000,ARM,71,0,0,1,1,0.0,0.0014992503748125937,667,0,AUS,4.0,0,999,4,1996,1,9,Armenia
2008,ARM,62,0,1,4,5,0.0,0.007429420505200594,673,0,CHN,8.0,0,999,12,1996,1,17,Armenia
2012,ARM,65,0,1,1,2,0.0,0.0029850746268656717,670,0,GBR,4.0,0,999,16,1996,1,21,Armenia
2016,ARM,42,1,3,0,4,0.001466275659824047,0.005865102639296188,682,0,BRA,4.0,0,999,20,1996,1,25,Armenia
2020,ARM,69,0,2,2,4,0.0,0.005256241787122208,761,0,JPN,4.0,0,999,24,1996,1,29,Armenia
2024,ARM,66,0,3,1,4,0.0,0.005420054200542005,738,0,FRA,4.0,0,999,28,1996,1,33,Armenia
1896,AUS,8,2,0,0,2,0.018691588785046728,0.018691588785046728,107,0,GRE,0.0,0,999,0,1896,0,0,Australia
1900,AUS,9,2,0,3,5,0.00847457627118644,0.0211864406779661,236,0,FRA,4.0,0,999,4,1896,0,0,Australia
1904,AUS,12,0,3,1,4,0.0,0.017857142857142856,224,0,USA,4.0,0,999,8,1896,0,0,Australia
1920,AUS,16,0,2,1,3,0.0,0.008264462809917356,363,0,BEL,16.0,1,999,24,1896,0,0,Australia
1924,AUS,11,3,1,2,6,0.010273972602739725,0.02054794520547945,292,0,FRA,4.0,0,999,28,1896,0,0,Australia
1928,AUS,19,1,2,1,4,0.003968253968253968,0.015873015873015872,252,0,NED,4.0,0,999,32,1896,0,0,Australia
1932,AUS,11,3,1,1,5,0.011194029850746268,0.018656716417910446,268,0,USA,4.0,0,999,36,1896,0,0,Australia
1936,AUS,30,0,0,1,1,0.0,0.0033112582781456954,302,0,GER,4.0,0,999,40,1896,0,0,Australia
1948,AUS,14,2,6,5,13,0.00641025641025641,0.041666666666666664,312,0,GBR,12.0,1,999,52,1896,0,0,Australia
1952,AUS,9,6,2,3,11,0.01775147928994083,0.03254437869822485,338,0,FIN,4.0,0,999,56,1896,0,0,Australia
1956,AUS,3,13,8,14,35,0.038011695906432746,0.1023391812865497,342,1,AUS,4.0,0,0,60,1896,0,0,Australia
1960,AUS,5,8,8,6,22,0.023529411764705882,0.06470588235294118,340,0,ITA,4.0,0,4,64,1896,0,0,Australia
1964,AUS,8,6,2,10,18,0.016216216216216217,0.04864864864864865,370,0,JPN,4.0,0,8,68,1896,0,0,Australia
1968,AUS,9,5,7,5,17,0.012953367875647668,0.04404145077720207,386,0,MEX,4.0,0,12,72,1896,0,0,Australia
1972,AUS,6,8,7,2,17,0.018223234624145785,0.0387243735763098,439,0,GER,4.0,0,16,76,1896,0,0,Australia
1976,AUS,32,0,1,4,5,0.0,0.01126126126126126,444,0,CAN,4.0,0,20,80,1896,0,0,Australia
1980,AUS,15,2,2,5,9,0.004405286343612335,0.019823788546255508,454,0,RUS,4.0,0,24,84,1896,0,0,Australia
1984,AUS,14,4,8,12,24,0.008130081300813009,0.04878048780487805,492,0,USA,4.0,0,28,88,1896,0,0,Australia
1988,AUS,15,3,6,5,14,0.005681818181818182,0.026515151515151516,528,0,KOR,4.0,0,32,92,1896,0,0,Australia
1992,AUS,10,7,9,11,27,0.012216404886561954,0.04712041884816754,573,0,ESP,4.0,0,36,96,1896,0,0,Australia
1996,AUS,7,9,9,23,41,0.014900662251655629,0.06788079470198675,604,0,USA,4.0,0,40,100,1896,0,0,Australia
2000,AUS,4,16,25,17,58,0.0239880059970015,0.08695652173913043,667,1,AUS,4.0,0,0,104,1896,0,0,Australia
2004,AUS,4,17,16,17,50,0.025411061285500747,0.07473841554559044,669,0,GRE,4.0,0,4,108,1896,0,0,Australia
2008,AUS,6,14,15,17,46,0.020802377414561663,0.06835066864784546,673,0,CHN,4.0,0,8,112,1896,0,0,Australia
2012,AUS,8,8,15,12,35,0.011940298507462687,0.05223880597014925,670,0,GBR,4.0,0,12,116,1896,0,0,Australia
2016,AUS,10,8,11,10,29,0.011730205278592375,0.04252199413489736,682,0,BRA,4.0,0,16,120,1896,0,0,Australia
2020,AUS,6,17,7,22,46,0.022339027595269383,0.06044678055190539,761,0,JPN,4.0,0,20,124,1896,0,0,Australia
2024,AUS,4,18,19,16,53,0.024390243902439025,0.07181571815718157,738,0,FRA,4.0,0,24,128,1896,0,0,Australia
1896,AUT,7,2,1,2,5,0.018691588785046728,0.04672897196261682,107,0,GRE,0.0,0,999,0,1896,0,0,Austria
1900,AUT,16,0,3,3,6,0.0,0.025423728813559324,236,0,FRA,4.0,0,999,4,1896,0,0,Austria
1904,AUT,8,1,1,1,3,0.004464285714285714,0.013392857142857142,224,0,USA,4.0,0,999,8,1896,0,0,Austria
1908,AUT,19,0,0,1,1,0.0,0.003745318352059925,267,0,GBR,4.0,0,999,12,1896,0,0,Austria
1912,AUT,17,0,2,2,4,0.0,0.01694915254237288,236,0,SWE,4.0,0,999,16,1896,0,0,Austria
1924,AUT,20,0,3,1,4,0.0,0.0136986301369863,292,0,FRA,12.0,0,999,28,1896,0,0,Austria
