Year,NOC,Rank,Gold,Silver,Bronze,Total,Market_Share_Gold,Market_Share_Total,Total_Events,is_host,Host_NOC,years_since_last,crossed_war,years_since_hosted,olympic_experience,first_medal_year,is_post_soviet,years_since_independence,NOC_original,Gold_lag1,Gold_lag2,Gold_lag3,Silver_lag1,Silver_lag2,Silver_lag3,Bronze_lag1,Bronze_lag2,Bronze_lag3,Total_lag1,Total_lag2,Total_lag3,Gold_rolling_mean_3,Gold_rolling_max_3,Gold_rolling_min_3,Gold_rolling_std_3,Gold_rolling_mean_5,Gold_rolling_max_5,Gold_rolling_min_5,Gold_rolling_std_5,Silver_rolling_mean_3,Silver_rolling_max_3,Silver_rolling_min_3,Silver_rolling_std_3,Silver_rolling_mean_5,Silver_rolling_max_5,Silver_rolling_min_5,Silver_rolling_std_5,Bronze_rolling_mean_3,Bronze_rolling_max_3,Bronze_rolling_min_3,Bronze_rolling_std_3,Bronze_rolling_mean_5,Bronze_rolling_max_5,Bronze_rolling_min_5,Bronze_rolling_std_5,Total_rolling_mean_3,Total_rolling_max_3,Total_rolling_min_3,Total_rolling_std_3,Total_rolling_mean_5,Total_rolling_max_5,Total_rolling_min_5,Total_rolling_std_5,Gold_growth_rate,Gold_change,Gold_acceleration,Silver_growth_rate,Silver_change,Silver_acceleration,Bronze_growth_rate,Bronze_change,Bronze_acceleration,Total_growth_rate,Total_change,Total_acceleration,Gold_is_growing,Gold_streak,Silver_is_growing,Silver_streak,Bronze_is_growing,Bronze_streak,Total_is_growing,Total_streak,Gold_host_boost,Silver_host_boost,Bronze_host_boost,Total_host_boost,market_size_interaction,experience_performance,gold_ratio,silver_ratio,bronze_ratio,gold_silver_ratio,avg_gold_year,std_gold_year,max_gold_year,num_countries,gold_vs_avg,gold_percentile,is_first_participation,is_first_medal,is_comeback
2008,AFG,82,0,0,1,1,0.0,0.0014858841010401,673,0,CHN,0.0,0,999,0,2008,0,0,Afghanistan,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.471264367816092,7.376643026219565,48,87,-3.471264367816092,0.1896551724137931,1,0,0
2012,AFG,79,0,0,1,1,0.0,0.0014925373134328,670,0,GBR,4.0,0,999,4,2008,0,0,Afghanistan,0.0,,,0.0,,,1.0,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.5232558139534884,7.615350973621398,48,86,-3.5232558139534884,0.18604651162790697,0,0,0
1988,AHO,36,0,1,0,1,0.0,0.0018939393939393,528,0,KOR,0.0,0,999,0,1988,0,0,Netherlands Antilles,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.634615384615385,10.232644505437518,55,52,-4.634615384615385,0.21153846153846154,1,0,0
2024,ALB,80,0,0,2,2,0.0,0.002710027100271,738,0,FRA,0.0,0,999,0,2024,0,0,Albania,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,3.6043956043956045,6.990277567019815,40,91,-3.6043956043956045,0.15934065934065933,1,0,0
1984,ALG,42,0,0,2,2,0.0,0.0040650406504065,492,0,USA,0.0,0,999,0,1984,0,0,Algeria,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,4.808510638297872,12.672528140537326,83,47,-4.808510638297872,0.24468085106382978,1,0,0
1992,ALG,34,1,0,1,2,0.0017452006980802,0.0034904013961605,573,0,ESP,8.0,0,999,8,1984,0,0,Algeria,0.0,,,0.0,,,2.0,,,2.0,,,0.5,1.0,0.0,0.7071067811865476,0.5,1.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,1.0,0.7071067811865476,1.5,2.0,1.0,0.7071067811865476,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,1.0,,,0.0,,-0.5,-1.0,,0.0,0.0,,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.011086613257101707,4.0,0.3333333333333333,0.0,0.3333333333333333,1.0,4.0625,8.591015979239915,45,64,-3.0625,0.515625,0,1,0
1996,ALG,34,2,0,1,3,0.0033112582781456,0.0049668874172185,604,0,USA,4.0,0,999,12,1984,0,0,Algeria,1.0,0.0,,0.0,0.0,,1.0,2.0,,2.0,2.0,,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,0.5773502691896257,1.3333333333333333,2.0,1.0,0.5773502691896257,2.3333333333333335,3.0,2.0,0.5773502691896257,2.3333333333333335,3.0,2.0,0.5773502691896257,1.0,1.0,,,0.0,,0.0,0.0,0.5,0.5,1.0,0.5,1,2,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0212093657550684,12.0,0.5,0.0,0.25,2.0,3.430379746835443,6.580241489419042,44,79,-1.4303797468354431,0.6075949367088608,0,0,0
2000,ALG,42,1,1,3,5,0.0014992503748125,0.0074962518740629,667,0,AUS,4.0,0,999,16,1984,0,0,Algeria,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,1.3333333333333333,2.0,1.0,0.5773502691896257,1.0,2.0,0.0,0.816496580927726,0.3333333333333333,1.0,0.0,0.5773502691896258,0.25,1.0,0.0,0.5,1.6666666666666667,3.0,1.0,1.1547005383792517,1.75,3.0,1.0,0.9574271077563381,3.3333333333333335,5.0,2.0,1.5275252316519465,3.0,5.0,2.0,1.4142135623730951,-0.5,-1.0,-1.5,,1.0,,2.0,2.0,2.0,0.6666666666666667,2.0,0.16666666666666674,0,0,1,1,1,1,1,2,0.0,0.0,0.0,0.0,0.009751556482063327,21.333333333333332,0.16666666666666666,0.16666666666666666,0.5,0.5,3.75,6.85750074412655,37,80,-2.75,0.45625,0,0,0
2008,ALG,68,0,1,1,2,0.0,0.0029717682020802,673,0,CHN,8.0,0,999,24,1984,0,0,Algeria,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,2.0,1.0,2.0,0.0,1.0,0.8,2.0,0.0,0.8366600265340756,0.6666666666666666,1.0,0.0,0.5773502691896258,0.4,1.0,0.0,0.5477225575051661,1.6666666666666667,3.0,1.0,1.1547005383792517,1.6,3.0,1.0,0.8944271909999159,3.3333333333333335,5.0,2.0,1.5275252316519465,2.8,5.0,2.0,1.3038404810405297,-1.0,-1.0,-0.5,0.0,0.0,,-0.6666666666666667,-2.0,-2.666666666666667,-0.6,-3.0,-1.2666666666666666,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.3333333333333333,0.3333333333333333,0.0,3.471264367816092,7.376643026219565,48,87,-3.471264367816092,0.1896551724137931,0,0,0
2012,ALG,50,1,0,0,1,0.0014925373134328,0.0014925373134328,670,0,GBR,4.0,0,999,28,1984,0,0,Algeria,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,5.0,3.0,0.6666666666666666,1.0,0.0,0.5773502691896258,1.0,2.0,0.0,0.7071067811865475,0.6666666666666666,1.0,0.0,0.5773502691896258,0.4,1.0,0.0,0.5477225575051661,1.3333333333333333,3.0,0.0,1.5275252316519465,1.2,3.0,0.0,1.0954451150103321,2.6666666666666665,5.0,1.0,2.0816659994661326,2.6,5.0,1.0,1.51657508881031,,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-0.33333333333333326,-0.5,-1.0,0.09999999999999998,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.009714580801450039,18.666666666666664,0.5,0.0,0.0,1.0,3.5232558139534884,7.615350973621398,48,86,-2.5232558139534884,0.47674418604651164,0,1,0
2016,ALG,63,0,2,0,2,0.0,0.002932551319648,682,0,BRA,4.0,0,999,32,1984,0,0,Algeria,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,5.0,0.3333333333333333,1.0,0.0,0.5773502691896257,0.8,2.0,0.0,0.8366600265340756,1.0,2.0,0.0,1.0,0.8,2.0,0.0,0.8366600265340756,0.3333333333333333,1.0,0.0,0.5773502691896248,1.0,3.0,0.0,1.224744871391589,1.6666666666666667,2.0,1.0,0.5773502691896243,2.6,5.0,1.0,1.51657508881031,-1.0,-1.0,,,2.0,,,0.0,,1.0,1.0,1.5,0,0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,10.666666666666666,0.0,0.6666666666666666,0.0,0.0,3.558139534883721,6.898601138956986,46,86,-3.558139534883721,0.16279069767441862,0,0,0
2024,ALG,39,2,0,1,3,0.002710027100271,0.0040650406504065,738,0,FRA,8.0,0,999,40,1984,0,0,Algeria,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.8,2.0,0.0,0.8366600265340756,0.6666666666666666,2.0,0.0,1.1547005383792517,0.8,2.0,0.0,0.8366600265340756,0.3333333333333333,1.0,0.0,0.5773502691896248,1.0,3.0,0.0,1.224744871391589,2.0,3.0,1.0,0.9999999999999991,2.6,5.0,1.0,1.51657508881031,,2.0,,-1.0,-2.0,,,1.0,,0.5,1.0,-0.5,1,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,0.01790053637113332,40.0,0.5,0.0,0.25,2.0,3.6043956043956045,6.990277567019815,40,91,-1.6043956043956045,0.6318681318681318,0,1,0
1908,ANZ,11,1,2,2,5,0.0037453183520599,0.0187265917602996,267,0,GBR,0.0,0,999,0,1908,0,0,Australasia,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.020940026144235277,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.7894736842105265,13.243778192748225,56,19,-4.7894736842105265,0.42105263157894735,1,1,0
1912,ANZ,12,2,2,3,7,0.0084745762711864,0.0296610169491525,236,0,SWE,4.0,0,999,4,1908,0,0,Australasia,1.0,,,2.0,,,2.0,,,5.0,,,1.5,2.0,1.0,0.7071067811865476,1.5,2.0,1.0,0.7071067811865476,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.5,3.0,2.0,0.7071067811865476,2.5,3.0,2.0,0.7071067811865476,6.0,7.0,5.0,1.4142135623730951,6.0,7.0,5.0,1.4142135623730951,1.0,1.0,,0.0,0.0,,0.5,1.0,,0.3999999999999999,2.0,,1,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.046339492721483945,6.0,0.25,0.25,0.375,0.6666666666666666,5.666666666666667,7.451805939817937,26,18,-3.666666666666667,0.3611111111111111,0,0,0
1924,ARG,16,1,3,2,6,0.0034246575342465,0.0205479452054794,292,0,FRA,0.0,0,999,0,1924,0,0,Argentina,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0194526459212909,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.25,4.666666666666667,8.961455925668123,45,27,-3.666666666666667,0.4074074074074074,1,1,0
1928,ARG,12,3,3,1,7,0.0119047619047619,0.0277777777777777,252,0,NED,4.0,0,999,4,1924,0,0,Argentina,1.0,,,3.0,,,2.0,,,6.0,,,2.0,3.0,1.0,1.4142135623730951,2.0,3.0,1.0,1.4142135623730951,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1.5,2.0,1.0,0.7071067811865476,1.5,2.0,1.0,0.7071067811865476,6.5,7.0,6.0,0.7071067811865476,6.5,7.0,6.0,0.7071067811865476,2.0,2.0,,0.0,0.0,,-0.5,-1.0,,0.16666666666666674,1.0,,1,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.06587368438961332,8.0,0.375,0.375,0.125,0.75,3.3333333333333335,4.291464396527911,22,33,-0.3333333333333335,0.6666666666666666,0,0,0
1932,ARG,12,3,1,0,4,0.0111940298507462,0.0149253731343283,268,0,USA,4.0,0,999,8,1924,0,0,Argentina,3.0,1.0,,3.0,3.0,,1.0,2.0,,7.0,6.0,,2.3333333333333335,3.0,1.0,1.1547005383792515,2.3333333333333335,3.0,1.0,1.1547005383792515,2.3333333333333335,3.0,1.0,1.1547005383792517,2.3333333333333335,3.0,1.0,1.1547005383792517,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,5.666666666666667,7.0,4.0,1.5275252316519468,5.666666666666667,7.0,4.0,1.5275252316519468,0.0,0.0,-2.0,-0.6666666666666667,-2.0,-0.6666666666666667,-1.0,-1.0,-0.5,-0.4285714285714286,-3.0,-0.5952380952380953,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.06262736618957244,18.666666666666668,0.6,0.2,0.0,1.5,4.464285714285714,8.496108664198124,44,28,-1.4642857142857144,0.6428571428571429,0,0,0
1936,ARG,14,2,2,3,7,0.0066225165562913,0.0231788079470198,302,0,GER,4.0,0,999,12,1924,0,0,Argentina,3.0,3.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,4.0,7.0,6.0,2.6666666666666665,3.0,2.0,0.5773502691896255,2.25,3.0,1.0,0.9574271077563381,2.0,3.0,1.0,1.0,2.25,3.0,1.0,0.9574271077563382,1.3333333333333333,3.0,0.0,1.5275252316519465,1.5,3.0,0.0,1.2909944487358056,6.0,7.0,4.0,1.7320508075688776,6.0,7.0,4.0,1.4142135623730951,-0.33333333333333337,-1.0,-0.33333333333333337,1.0,1.0,1.6666666666666667,,3.0,,0.75,3.0,1.1785714285714286,0,0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.03783929010271053,32.0,0.25,0.25,0.375,0.6666666666666666,4.40625,7.795198584240297,38,32,-2.40625,0.5625,0,0,0
1948,ARG,13,3,3,1,7,0.0096153846153846,0.0224358974358974,312,0,GBR,12.0,1,999,24,1924,0,0,Argentina,2.0,3.0,3.0,2.0,1.0,3.0,3.0,0.0,1.0,7.0,4.0,7.0,2.6666666666666665,3.0,2.0,0.5773502691896255,2.4,3.0,1.0,0.8944271909999159,2.0,3.0,1.0,1.0,2.4,3.0,1.0,0.894427190999916,1.3333333333333333,3.0,0.0,1.5275252316519465,1.4,3.0,0.0,1.140175425099138,6.0,7.0,4.0,1.7320508075688776,6.2,7.0,4.0,1.3038404810405297,0.5,1.0,0.8333333333333334,0.5,1.0,-0.5,-0.6666666666666667,-2.0,,0.0,0.0,-0.75,1,1,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.05525195375519369,64.0,0.375,0.375,0.125,0.75,3.72972972972973,6.878503748186361,38,37,-0.7297297297297298,0.6891891891891891,0,0,1
1952,ARG,19,1,2,2,5,0.0029585798816568,0.014792899408284,338,0,FIN,4.0,0,999,28,1924,0,0,Argentina,3.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,7.0,7.0,4.0,2.0,3.0,1.0,0.9999999999999998,2.4,3.0,1.0,0.8944271909999159,2.3333333333333335,3.0,2.0,0.577350269189626,2.2,3.0,1.0,0.8366600265340757,2.0,3.0,1.0,0.9999999999999998,1.4,3.0,0.0,1.140175425099138,6.333333333333333,7.0,5.0,1.1547005383792517,6.0,7.0,4.0,1.4142135623730951,-0.6666666666666667,-2.0,-1.1666666666666667,-0.33333333333333337,-1.0,-0.8333333333333334,1.0,1.0,1.6666666666666667,-0.2857142857142857,-2.0,-0.2857142857142857,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.017236686708226156,56.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.4651162790697674,7.29105400052271,40,43,-2.4651162790697674,0.5116279069767442,0,0,0
1956,ARG,29,0,1,1,2,0.0,0.0058479532163742,342,0,AUS,4.0,0,999,32,1924,0,0,Argentina,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,5.0,7.0,7.0,1.3333333333333333,3.0,0.0,1.5275252316519465,1.8,3.0,0.0,1.3038404810405297,2.0,3.0,1.0,1.0,1.8,3.0,1.0,0.8366600265340757,1.3333333333333333,2.0,1.0,0.5773502691896254,1.4,3.0,0.0,1.140175425099138,4.666666666666667,7.0,2.0,2.5166114784235836,5.0,7.0,2.0,2.1213203435596424,-1.0,-1.0,-0.33333333333333326,-0.5,-1.0,-0.16666666666666663,-0.5,-1.0,-1.5,-0.6,-3.0,-0.3142857142857143,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,42.666666666666664,0.0,0.3333333333333333,0.3333333333333333,0.0,4.026315789473684,7.923577004499322,37,38,-4.026315789473684,0.18421052631578946,0,0,0
1960,ARG,30,0,1,1,2,0.0,0.0058823529411764,340,0,ITA,4.0,0,999,36,1924,0,0,Argentina,0.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,5.0,7.0,0.3333333333333333,1.0,0.0,0.5773502691896258,1.2,3.0,0.0,1.3038404810405297,1.3333333333333333,2.0,1.0,0.577350269189626,1.8,3.0,1.0,0.8366600265340757,1.3333333333333333,2.0,1.0,0.5773502691896254,1.6,3.0,1.0,0.894427190999916,3.0,5.0,2.0,1.7320508075688779,4.6,7.0,2.0,2.5099800796022267,,0.0,,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.3333333333333333,0.3333333333333333,0.0,3.4545454545454546,8.37064234554049,43,44,-3.4545454545454546,0.25,0,0,0
1964,ARG,30,0,1,0,1,0.0,0.0027027027027027,370,0,JPN,4.0,0,999,40,1924,0,0,Argentina,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.8,3.0,0.0,1.3038404810405297,1.0,1.0,1.0,0.0,1.6,3.0,1.0,0.8944271909999161,0.6666666666666666,1.0,0.0,0.5773502691896252,1.0,2.0,0.0,0.7071067811865477,1.6666666666666667,2.0,1.0,0.5773502691896293,3.4,7.0,1.0,2.5099800796022262,,0.0,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-0.5,-1.0,-0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.975609756097561,7.567984556267437,36,41,-3.975609756097561,0.1951219512195122,0,0,0
