Model,Dataset,RMSE,MAE,R2,MAPE
Linear Regression,Validation (2020),0.27844964017508,0.07678284264251625,0.9984106903491473,2.080772911826863
Linear Regression,Test (2024),0.07287638588333926,0.04995914166532151,0.9998901035421234,1.987458606254726
Poisson Regression,Validation (2020),3.155588038790615,1.3412677805557844,0.7958845865657211,28.336276578517094
Poisson Regression,Test (2024),2.6554511329503168,1.2179434585553837,0.854089458720045,28.57808266757933
Random Forest,Validation (2020),0.7076303371850317,0.27263669335443536,0.9897357295745587,3.3591310793693965
Random Forest,Test (2024),0.6777035153624954,0.3261635110920824,0.9904963700405354,4.362190818058022
XGBoost,Validation (2020),0.8072250133603837,0.41781362891197205,0.9866431355476379,11.371368940731925
XGBoost,Test (2024),0.8959719121928472,0.47258108854293823,0.9833889007568359,12.210652666067656
TMH-OMP,Validation (2020),0.2489980720606058,0.06108914150343142,0.9987291123263788,1.2829834542957195
TMH-OMP,Test (2024),0.05338585617039843,0.036219152608851314,0.9999410257447328,1.3911027573565629
Ensemble (RF+XGB),Validation (2020),0.7297574866735435,0.34522517052654306,0.9890837790635143,7.365250010050657
Ensemble (RF+XGB),Test (2024),0.6911603299816861,0.39579512833031566,0.9901152054368054,8.259420060767846
