Feature,Importance
gold_percentile,0.4791935192528204
Gold_rolling_mean_3,0.39235360805084385
Market_Share_Gold,0.08769229437478433
Gold_change,0.011451164612671837
Gold_host_boost,0.005645850620572898
Total_Events,0.00490738509883326
Gold_rolling_mean_5,0.004124317517170478
Gold_rolling_std_3,0.0037745133084550707
Gold_growth_rate,0.0032566948660087626
Gold_lag2,0.0022278551531550546
olympic_experience,0.0017169947294010295
Gold_lag1,0.0016131163261362252
Num_Athletes,0.0013533889717101022
Gold_lag3,0.000586047201205253
is_host,0.00010324991623154764
